Player,Season,Country,Position,Games,Win rate,KDA,Avg kills,Avg deaths,Avg assists,CSM,GPM,KP%,DMG%,DPM,VSPM,Avg WPM,Avg WCPM,Avg VWPM,GD@15,CSD@15,XPD@15,FB %,FB Victim,Penta Kills,Solo Kills
UmTi,S7,KR,JUNGLE,78,39.7%,2.6,2.5,2.8,4.7,4.5,329,66.2%,14.8,272,-,0.93,0.42,0.24,-4,-3,-67,43.6%,11.5%,0,8
Winged,S7,,JUNGLE,9,33.3%,3.5,1.3,1.7,4.6,4.5,311,73.1%,11.5,183,-,0.9,0.62,0.3,-40,7,147,33.3%,11.1%,0,-
blank,S7,KR,JUNGLE,29,82.8%,5,2.9,2.1,7.7,4.3,354,72.8%,13.1,270,-,1,0.43,0.3,154,-8,-52,41.4%,10.3%,0,2
bono,S7,KR,JUNGLE,3,100%,5.5,1.7,2,9.3,4.3,360,74%,10.7,226,-,1.04,0.41,0.38,140,-2,-25,0%,33.3%,0,-
Bdd,S7,KR,MID,48,70.8%,11.3,4.1,0.9,6.4,9.1,421,76.7%,25,511,-,0.5,0.14,0.1,304,4,289,25%,0%,0,5
Candy,S7,KR,MID,9,33.3%,2.8,2.1,2.1,3.8,8.6,364,71.5%,29.1,477,-,0.62,0.22,0.17,-245,-9,-478,33.3%,11.1%,0,-
Cepted,S7,KR,MID,47,27.7%,2.4,2.5,2.6,3.5,9.5,395,66.7%,28.1,446,-,0.47,0.22,0.15,-27,3,49,12.8%,6.4%,0,14
Crow,S7,KR,MID,1,0%,0.7,2,3,0,9.3,376,66.7%,32.9,399,-,0.4,0.37,0.07,-310,0,-95,0%,0%,0,-
Crown,S7,KR,MID,100,65%,3.5,3,2,4,9.2,411,61.4%,27.1,518,-,0.54,0.23,0.17,185,6,139,30%,11%,1,25
Edge,S7,KR,MID,52,32.7%,3.3,2.4,1.8,3.4,9.1,386,71.4%,24.6,413,-,0.46,0.17,0.13,-182,-6,-126,21.2%,11.5%,0,4
Faker,S7,KR,MID,100,70%,4.1,3.7,2.1,4.8,9.4,427,66.5%,26.3,524,-,0.39,0.24,0.09,96,6,238,21%,9%,0,30
Fly,S7,KR,MID,45,44.4%,3.5,3.2,2.2,4.3,8.8,396,63.7%,25.3,493,-,0.56,0.2,0.13,-143,-7,-71,20%,13.3%,0,12
Ian,S7,KR,MID,97,41.2%,2.9,2.7,2.5,4.5,8.4,379,65.2%,26.1,494,-,0.49,0.26,0.13,-237,-7,-307,16.5%,11.3%,0,16
Kuzan,S7,KR,MID,86,40.7%,3.5,2.6,2,4.4,8.9,388,64.7%,26,490,-,0.55,0.25,0.14,76,5,8,25.6%,5.8%,0,24
Lava,S7,KR,MID,21,38.1%,2.7,2.7,2.3,3.7,8.7,381,74.6%,29,494,-,0.56,0.18,0.13,-369,-7,-336,19%,14.3%,0,1
Mickey,S7,KR,MID,69,43.5%,2.7,3.8,3.2,4.6,9.1,411,72.5%,29.4,546,-,0.58,0.2,0.14,40,1,-166,18.8%,20.3%,0,19
PawN,S7,KR,MID,108,63%,4.2,3.4,2.1,5.4,8.7,406,65.9%,24.1,496,-,0.54,0.22,0.15,73,-3,42,19.4%,7.4%,0,24
Tempt,S7,KR,MID,99,35.4%,3.4,2.7,1.9,3.6,9.1,389,66.6%,27.3,486,-,0.53,0.17,0.17,-34,0,-61,15.2%,11.1%,1,18
kurO,S7,KR,MID,108,52.8%,3.9,3.3,2,4.4,8.7,399,68%,27.3,516,-,0.55,0.27,0.13,-48,-2,95,20.4%,7.4%,0,20
Bang,S7,KR,ADC,100,70%,5.9,3.4,1.4,5.1,9.5,428,63.4%,28.5,575,-,0.44,0.2,0.06,240,6,137,19%,7%,0,8
Deft,S7,KR,ADC,108,63%,4.8,3.1,1.8,5.4,9.3,421,62%,28.5,594,-,0.48,0.3,0.14,375,7,239,18.5%,5.6%,0,12
Deul,S7,,ADC,47,27.7%,2.7,2.3,2,3.1,9.1,385,62.1%,26.8,433,-,0.39,0.29,0.12,-578,-10,-371,10.6%,8.5%,0,-
Ghost,S7,KR,ADC,99,35.4%,3.2,2.7,2,3.7,9.3,397,65.7%,27.6,485,-,0.43,0.25,0.14,-158,-4,-80,16.2%,10.1%,1,4
Kramer,S7,KR,ADC,108,52.8%,4.9,3,1.5,4.2,9.6,420,62.1%,26.9,515,-,0.47,0.34,0.12,-182,-6,-46,12%,3.7%,1,4
MaHa,S7,,ADC,97,41.2%,3.5,2.7,2.1,4.5,9,395,62.9%,25.3,483,-,0.36,0.25,0.08,-150,-5,-231,19.6%,6.2%,0,5
PraY,S7,KR,ADC,93,58.1%,3.7,2.9,2.2,5.1,9.3,414,62.3%,25.9,520,-,0.44,0.24,0.08,267,8,85,23.7%,4.3%,0,7
Ruler,S7,KR,ADC,90,66.7%,4.2,2.9,1.7,4.3,9.6,424,61.7%,27.3,539,-,0.41,0.3,0.15,134,3,69,15.6%,5.6%,0,5
